PeopleName,pronunciation,Country,Population,Language,Religion,Latitude,Longitude,Global Status of  Evangelical Christianity,Evangelical Engagement,Physical Exertion,Freedom Index,Government Restrictions Index,Social Hostilities Index,Threat Level,ROP1,ROP2,ROP3,People Name,GENC,FIPS,FIPS of Origin,Unnamed: 21,Unnamed: 22,IMB Affinity Group,Not Engaged Anywhere,SPI,Strategic Priority Index,Population Layer,Indigenous,ISOalpha3,
"""Mixtec",mix-tec,,Mexico,2300,Spanish,Christianity - Folk Catholicism,17.963889,-96.830556,5,Unengaged,Medium,Partly Free,Moderate,High,Other,A007,C0144,102339,"""Mixtec"," Cuyamecalco""",MEX,MX,,,,American Peoples,Yes,2,No Longer Unreached,"""<10","000""",Indigenous,MEX,mixtec cuyam-ecalco
"""Mixtec",mix-tec,,Mexico,3300,Spanish,Christianity - Folk Catholicism,16.926667,-97.146944,5,Unengaged,Medium,Partly Free,Moderate,High,Other,A007,C0144,108594,"""Mixtec"," Huitepec""",MEX,MX,,,,American Peoples,Yes,2,No Longer Unreached,"""<10","000""",Indigenous,MEX,mixtec huit-epec
"""Mixtec",mix-tec,,Mexico,1300,Spanish,Christianity - Folk Catholicism,16.668611,-97.792778,5,Unengaged,Medium,Partly Free,Moderate,High,Other,A007,C0144,102859,"""Mixtec"," Itundujia""",MEX,MX,,,,American Peoples,Yes,2,No Longer Unreached,"""<10","000""",Indigenous,MEX,mixtec itun-dujia
"""Mixtec",mix-tec,,Mexico,18500,Spanish,Christianity - Folk Catholicism,16.278333,-97.82,4,Unengaged,Medium,Partly Free,Moderate,High,Other,A007,C0144,102843,"""Mixtec"," Jamiltepec""",MEX,MX,,,,American Peoples,Yes,2,No Longer Unreached,"""10","000+""",Indigenous,MEX,mixtec jamil-tepec
"""Mixtec",mix-tec,,Mexico,6100,Mixtepec Mixtec,Christianity - Folk Catholicism,17.304722,-97.829722,5,Unengaged,Medium,Partly Free,Moderate,High,Other,A007,C0144,106682,"""Mixtec"," Mixtepec""",MEX,MX,,,,American Peoples,,2,No Longer Unreached,"""<10","000""",Indigenous,MEX,mixtec mixt-epec
"""Mixtec",mix-tec,,United States,4500,Spanish,Christianity - Roman Catholicism,32.7878,-79.9425,5,Unengaged,Little,Free,Moderate,High,Caution,A007,C0144,108472,"""Mixtec"," Ocotepec""",USA,US,MX,,,American Peoples,,2,No Longer Unreached,"""<10","000""",Diaspora,USA,mixtec north--western tlax-iaco
"""Mixtec",mix-tec,,Mexico,9200,Peñoles Mixtec,Christianity - Folk Catholicism,17.077778,-97.001389,6,Unengaged,Medium,Partly Free,Moderate,High,Other,A007,C0144,102850,"""Mixtec"," Penoles""",MEX,MX,,,,American Peoples,Yes,2,No Longer Unreached,"""<10","000""",Indigenous,MEX,mixtec pen-oles
"""Mixtec",mix-tec,,Mexico,18500,San Juan Colorado Mixtec,Christianity - Folk Catholicism,16.458611,-97.953611,5,Unengaged,Medium,Partly Free,Moderate,High,Other,A007,C0144,108606,"""Mixtec"," San Juan Colorado""",MEX,MX,,,,American Peoples,Yes,2,No Longer Unreached,"""10","000+""",Indigenous,MEX,mixtec san juan colo-rado
"""Mixtec",mix-tec,,Mexico,550,Spanish,Christianity - Folk Catholicism,17.095833,-97.414444,4,Unengaged,Medium,Partly Free,Moderate,High,Other,A007,C0144,108611,"""Mixtec"," San Juan Teita""",MEX,MX,,,,American Peoples,Yes,2,No Longer Unreached,"""<10","000""",Indigenous,MEX,mixtec san juan teita
"""Mixtec",mix-tec,,Mexico,2500,Spanish,Christianity - Folk Catholicism,16.7625,-97.989167,4,Unengaged,Medium,Partly Free,Moderate,High,Other,A007,C0144,109510,"""Mixtec"," Santa Maria Zacatepec""",MEX,MX,,,,American Peoples,Yes,2,No Longer Unreached,"""<10","000""",Indigenous,MEX,mixtec santa maria zaca-tepec
"""Mixtec",mix-tec,,Mexico,80,Spanish,Christianity - Folk Catholicism,17.001944,-97.351389,4,Unengaged,Medium,Partly Free,Moderate,High,Other,A007,C0144,109297,"""Mixtec"," Sindihui""",MEX,MX,,,,American Peoples,Yes,2,No Longer Unreached,"""<10","000""",Indigenous,MEX,mixtec sind-ihui
"""Mixtec",mix-tec,,Mexico,5100,Spanish,Christianity - Folk Catholicism,17.221667,-97.120833,6,Unengaged,Medium,Partly Free,Moderate,High,Other,A007,C0144,108682,"""Mixtec"," Southeastern Nochixtlan""",MEX,MX,,,,American Peoples,Yes,2,No Longer Unreached,"""<10","000""",Indigenous,MEX,mixtec south--eastern noch--ixtlan
"""Mixtec",mix-tec,,Mexico,225,Spanish,Christianity - Folk Catholicism,17.590278,-97.306944,5,Unengaged,Medium,Partly Free,Moderate,High,Other,A007,C0144,108596,"""Mixtec"," Soyaltepec""",MEX,MX,,,,American Peoples,Yes,2,No Longer Unreached,"""<10","000""",Indigenous,MEX,mixtec soyal-tepec
"""Mixtec",mix-tec,,Mexico,900,Spanish,Christianity - Folk Catholicism,16.9175,-97.492222,5,Unengaged,Medium,Partly Free,Moderate,High,Other,A007,C0144,109678,"""Mixtec"," Tacahua""",MEX,MX,,,,American Peoples,Yes,2,No Longer Unreached,"""<10","000""",Indigenous,MEX,mixtec tac-ahua
"""Mixtec",mix-tec,,Mexico,2200,Spanish,Christianity - Folk Catholicism,17.159722,-97.226389,5,Unengaged,Medium,Partly Free,Moderate,High,Other,A007,C0144,108610,"""Mixtec"," Tamazola""",MEX,MX,,,,American Peoples,Yes,2,No Longer Unreached,"""<10","000""",Indigenous,MEX,mixtec tama-zola
"""Mixtec",mix-tec,,Mexico,28500,Spanish,Christianity - Folk Catholicism,17.026389,-96.995833,5,Unengaged,Medium,Partly Free,Moderate,High,Other,A007,C0144,116245,"""Mixtec"," Tlazoyaltepec""",MEX,MX,,,,American Peoples,Yes,2,No Longer Unreached,"""10","000+""",Indigenous,MEX,mixtec tlazoy-altepec
"""Mixtec",mix-tec,,United States,2600,Spanish,Christianity - Roman Catholicism,45.138395,-122.843477,5,Unengaged,Little,Free,Moderate,High,Caution,A007,C0144,116245,"""Mixtec"," Tlazoyaltepec""",USA,US,MX,,,American Peoples,Yes,2,No Longer Unreached,"""<10","000""",Diaspora,USA,mixtec tlazoy-altepec
"""Mixtec",mix-tec,,United States,6600,Silacayoapan Mixtec,Christianity - Roman Catholicism,45.103752,-122.840387,4,Unengaged,Little,Free,Moderate,High,Caution,A007,C0144,109002,"""Mixtec"," Silacayoapan""",USA,US,MX,,,American Peoples,,2,No Longer Unreached,"""<10","000""",Diaspora,USA,mixtec wes-tern oaxaca
Miyako-Irabu,miya-ko-i-rabu,Japan,66000,Japanese,Ethnoreligion - Shinbutso-shugo,24.804539,125.285358,4,Unengaged,Little,Free,Low,Moderate,Level 1: Exercise Normal Precautions,A002,C0099,106630,Miyako,JPN,JA,,,,Asian Pacific Rim Peoples,Yes,2,No Longer Unreached,"""50","000+""",Indigenous,JPN,miyako--irabu
Miyana,miya-na,India,40500,Kacchi,Islam - Sunni,23.706064,69.829525,1,Unengaged,Strenuous,Partly Free,High,Very High,Level 2: Exercise Increased Caution,A012,C0321,112979,Miana,IND,IN,,,,South Asian Peoples,Yes,0,Unengaged and Unreached,"""10","000+""",Indigenous,IND,miyana
Mlabri,mla-bri,Laos,60,Mlabri,Ethnoreligion - Animism,18.63957,101.28868,0,Unengaged,Strenuous,Not Free,High,Moderate,Level 2: Exercise Increased Caution,A011,C0147,106686,Mlabri,LAO,LA,,,,Asian Pacific Rim Peoples,Yes,0,Unengaged and Unreached,"""<10","000""",Indigenous,LAO,mlabri
Mo,mo,China,29000,Mak (China),Ethnoreligion - Daoism,25.59464,107.72616,1,Unengaged,Medium,Not Free,Very High,Low,Other,A011,C0207,114939,Mo,CHN,CH,,,,Asian Pacific Rim Peoples,Yes,0,Unengaged and Unreached,"""10","000+""",Indigenous,CHN,mo
Mocha,mocha,Ethiopia,119000,Shekkacho,Ethnoreligion - Animism,7.7483,35.4648,1,Unengaged,Extreme,Not Free,Moderate,Moderate,Level 3: Reconsider Travel,A004,C0161,108901,"""Shakacho"," Mocha""",ETH,ET,,,,Northern African and Middle Eastern Peoples,Yes,0,Unengaged and Unreached,"""100","000+""",Indigenous,ETH,moch-a
Mocho,mocho,Mexico,250,Spanish,Christianity - Folk Catholicism,15.3625,-92.248056,6,Unengaged,Medium,Partly Free,Moderate,High,Other,A007,C0136,106696,Mocho,MEX,MX,,,,American Peoples,Yes,2,No Longer Unreached,"""<10","000""",Indigenous,MEX,moch-o
Modak,modak,India,159000,Bengali,Hinduism,22.606042,88.384628,1,Unengaged,Strenuous,Partly Free,High,Very High,Level 2: Exercise Increased Caution,A012,C0311,118960,Modak,IND,IN,,,,South Asian Peoples,Yes,0,Unengaged and Unreached,"""100","000+""",Indigenous,IND,modak
Modang,moda-ng,Indonesia,27500,Modang,Ethnoreligion - Animism,0.80793,116.5733,4,Unengaged,Medium,Partly Free,Very High,High,Level 2: Exercise Increased Caution,A008,C0059,106698,Modang,IDN,ID,,,,Asian Pacific Rim Peoples,Yes,2,No Longer Unreached,"""10","000+""",Indigenous,IDN,modang
Mogaveera,moga-vee-ra,India,37000,Tulu,Hinduism,12.839158,75.246908,1,Unengaged,Strenuous,Partly Free,High,Very High,Level 2: Exercise Increased Caution,A012,C0326,117766,Mogaveera,IND,IN,,,,South Asian Peoples,Yes,0,Unengaged and Unreached,"""10","000+""",Indigenous,IND,moga-veera
Moger (Malayalam),moger (ma-laya-lam-),India,27500,Malayalam,Hinduism,12.460633,75.152252,1,Unengaged,Strenuous,Partly Free,High,Very High,Level 2: Exercise Increased Caution,A012,C0289,118810,Moger (Malayalam),IND,IN,,,,South Asian Peoples,Yes,0,Unengaged and Unreached,"""10","000+""",Indigenous,IND,moger (mala-yalam)
Moghal (Telugu),mog-hal (te-lugu-),India,12500,Telugu,Islam - Sunni,17.417003,78.477119,1,Unengaged,Strenuous,Partly Free,High,Very High,Level 2: Exercise Increased Caution,A012,C0321,118961,"""Moghol"," Telugu""",IND,IN,,,,South Asian Peoples,Yes,0,Unengaged and Unreached,"""10","000+""",Indigenous,IND,moghal (tel-ugu)
Moghol,mog-hol,Afghanistan,8600,Dari,Islam - Sunni,34.129528,62.187896,1,Unengaged,Strenuous,Not Free,Very High,High,Level 4: Do Not Travel,A012,C0321,106706,Moghol,AFG,AF,IN,,,South Asian Peoples,,0,Unengaged and Unreached,"""<10","000""",Indigenous,AFG,moghol
Moghol (Dogri),mog-hol (do-gri-),India,350,Dogri,Islam - Sunni,32.820885,74.929147,1,Unengaged,Strenuous,Partly Free,High,Very High,Level 2: Exercise Increased Caution,A012,C0321,118811,"""Moghol"," Dogri""",IND,IN,,,,South Asian Peoples,Yes,0,Unengaged and Unreached,"""<10","000""",Indigenous,IND,moghol (do-gri)
Moghol (Gujarati),mog-hol (gu-jara-ti),India,6300,Gujarati,Islam - Sunni,23.542421,70.875573,1,Unengaged,Strenuous,Partly Free,High,Very High,Level 2: Exercise Increased Caution,A012,C0321,118812,"""Moghol"," Gujarati""",IND,IN,,,,South Asian Peoples,Yes,0,Unengaged and Unreached,"""<10","000""",Indigenous,IND,moghol (guja-rati)
Moghol (Marwari),mog-hol (ma-rwa-ri),India,33500,Marwari (India),Islam - Sunni,28.367287,75.603414,1,Unengaged,Strenuous,Partly Free,High,Very High,Level 2: Exercise Increased Caution,A012,C0321,118813,"""Moghol"," Marwari""",IND,IN,,,,South Asian Peoples,Yes,0,Unengaged and Unreached,"""10","000+""",Indigenous,IND,moghol (mar-wari)
Mogia,mogia,India,1800,Dhundari,Hinduism,26.170712,76.203976,1,Unengaged,Strenuous,Partly Free,High,Very High,Level 2: Exercise Increased Caution,A012,C0311,118665,Mogia,IND,IN,,,,South Asian Peoples,Yes,0,Unengaged and Unreached,"""<10","000""",Indigenous,IND,mogia
Mogum,mogum,Chad,13500,Mogum,Ethnoreligion - Animism,11.51991,18.60816,1,Unengaged,Extreme,Not Free,High,Moderate,Level 3: Reconsider Travel,A013,C0062,106709,Mogum,TCD,CD,,,,Sub-Saharan African Peoples,Yes,0,Unengaged and Unreached,"""10","000+""",Indigenous,TCD,mogum
Mohave,moha-ve,United States,2000,English,Christianity - Non-Evangelical Protestant,34.88661,-114.59926,5,Unengaged,Little,Free,Moderate,High,Caution,A009,C0154,106712,Mohave,USA,US,,,,American Peoples,Yes,2,No Longer Unreached,"""<10","000""",Indigenous,USA,mohave
Mohawk,moha-wk,Canada,30000,English,Christianity - Roman Catholicism,44.189,-77.1027,6,Unengaged,Little,Free,Low,Moderate,Level 1: Exercise Normal Precautions,A009,C0154,106713,Mohawk,CAN,CA,,,,American Peoples,Yes,2,No Longer Unreached,"""10","000+""",Indigenous,CAN,mohawk
Mohawk,moha-wk,United States,2200,Mohawk,Christianity - Non-Evangelical Protestant,44.96398,-74.53613,6,Unengaged,Little,Free,Moderate,High,Caution,A009,C0154,106713,Mohawk,USA,US,,,,American Peoples,Yes,2,No Longer Unreached,"""<10","000""",Indigenous,USA,mohawk
Mohegan-Montauk-Narragansett,mohe-gan--mo-ntau-k-na-rra-gan-set-t,United States,2100,English,Christianity - Non-Evangelical Protestant,41.846497,-72.17127,4,Unengaged,Little,Free,Moderate,High,Caution,A009,C0154,106714,Mohegan-Montauk-Narragansett,USA,US,,,,American Peoples,Yes,2,No Longer Unreached,"""<10","000""",Indigenous,USA,mohegan-montau-k-narragansett
Moikodi,moi-kodi,Papua New Guinea,1900,Moikodi,Christianity - Non-Evangelical Protestant,-9.60232,148.31167,5,Unengaged,Strenuous,Partly Free,Low,Moderate,Level 3: Reconsider Travel,A010,C0152,106718,Moikodi,PNG,PP,,,,Asian Pacific Rim Peoples,Yes,2,No Longer Unreached,"""<10","000""",Indigenous,PNG,moi-kodi
Mokilese,moki-lee-z,United States,500,Mokilese,Christianity - Non-Evangelical Protestant,21.346966,-157.885153,6,Unengaged,Little,Free,Moderate,High,Caution,A010,C0139,106725,Mokilese,USA,US,FM,,,Asian Pacific Rim Peoples,,2,No Longer Unreached,"""<10","000""",Diaspora,USA,moki-lese
Mokoulou,mokou-lou,Chad,38500,Mukulu,Ethnoreligion - Animism,11.8711,18.2042,1,Unengaged,Extreme,Not Free,High,Moderate,Level 3: Reconsider Travel,A013,C0062,106727,Mokoulou,TCD,CD,,,,Sub-Saharan African Peoples,Yes,0,Unengaged and Unreached,"""10","000+""",Indigenous,TCD,moko-ulou
Molbog,mol-bog,Malaysia,3400,Molbog,Islam - Folk,7.226628,117.065164,1,Unengaged,Low,Partly Free,High,High,Level 1: Exercise Normal Precautions,A008,C0071,106729,Molbog,MYS,MY,,,,Asian Pacific Rim Peoples,,0,Unengaged and Unreached,"""<10","000""",Diaspora,MYS,molbog
Moldovan,mol-dova-n,Uzbekistan,5400,Romanian,Christianity - Eastern Orthodox,41.313529,69.254243,1,Unengaged,Medium,Not Free,Very High,Low,Level 1: Exercise Normal Precautions,A003,C0187,106730,Moldovan,UZB,UZ,MD,,,European Peoples,,0,Unengaged and Unreached,"""<10","000""",Diaspora,UZB,mold-ovan
Molo,molo,Sudan,275,Berta,Islam - Sunni,10.799022,33.58228,1,Unengaged,Strenuous,Not Free,High,Moderate,Level 4: Do Not Travel,A013,C0153,106733,Molo,SDN,SU,,,,Sub-Saharan African Peoples,Yes,0,Unengaged and Unreached,"""<10","000""",Indigenous,SDN,molo
Molof,molof,Indonesia,250,Molof,Christianity - Evangelical Protestant,-3.4453,140.5122,6,Unengaged,Medium,Partly Free,Very High,High,Level 2: Exercise Increased Caution,A010,C0152,106734,Molof,IDN,ID,,,,Asian Pacific Rim Peoples,Yes,2,No Longer Unreached,"""<10","000""",Indigenous,IDN,molof
Momba,momba,India,5600,Tshangla,Hinduism,28.147225,94.748481,1,Unengaged,Strenuous,Partly Free,High,Very High,Level 2: Exercise Increased Caution,A012,C0333,113082,Momba,IND,IN,,,,South Asian Peoples,Yes,0,Unengaged and Unreached,"""<10","000""",Indigenous,IND,momba
Mombum,mom-bum,Indonesia,425,Papuan Malay,Christianity - Evangelical Protestant,-8.27141,138.77283,6,Unengaged,Medium,Partly Free,Very High,High,Level 2: Exercise Increased Caution,A010,C0152,106738,Mombum,IDN,ID,,,,Asian Pacific Rim Peoples,Yes,2,No Longer Unreached,"""<10","000""",Indigenous,IDN,mombum
Mon,mon,India,1000,Ladakhi,Buddhism - Tibetan,34.152586,77.577053,1,Unengaged,Strenuous,Partly Free,High,Very High,Level 2: Exercise Increased Caution,A012,C0333,115286,Mon,IND,IN,,,,South Asian Peoples,Yes,0,Unengaged and Unreached,"""<10","000""",Indigenous,IND,mon
Mon,mon,Laos,400,Tho,Ethnoreligion - Animism,19.154769,103.704206,1,Unengaged,Strenuous,Not Free,High,Moderate,Level 2: Exercise Increased Caution,A011,C0147,106916,Muong,LAO,LA,VM,,,Asian Pacific Rim Peoples,,0,Unengaged and Unreached,"""<10","000""",Indigenous,LAO,mon
Mon,mon,United States,100,Mon,Buddhism - Theravada,32.67329,-97.38112,1,Unengaged,Little,Free,Moderate,High,Caution,A011,C0147,106743,"""Mon"," Talaing""",USA,US,,,,Asian Pacific Rim Peoples,,0,Unengaged and Unreached,"""<10","000""",Diaspora,USA,mon
Monacan,mona-can,United States,2600,English,Ethnoreligion - Native American religions,37.5729,-79.12703,1,Unengaged,,,,,,A009,C0154,119480,Monacan,USA,US,,,,American Peoples,,0,Unengaged and Unreached,"""<10","000""",Indigenous,USA,mon-acan
Monaco Deaf,mona-co def,Monaco,225,Undetermined,Unknown,43.733,7.416,0,Unengaged,Little,Free,Low,Low,Alert,A017,C0252,114916,Deaf,MCO,MN,,,,Deaf Peoples,,0,Unengaged and Unreached,"""<10","000""",Indigenous,MCO,monaco def
"""Monba",monba,,China,56500,Tawang Monpa,Buddhism - Tibetan,27.894049,92.206914,1,Unengaged,Medium,Not Free,Very High,Low,Other,A012,C0282,102831,Sharchop,CHN,CH,BT,,,Asian Pacific Rim Peoples,,0,Unengaged and Unreached,"""50","000+""",Indigenous,CHN,monba cona
"""Monba",monba,,China,10500,Tshangla,Buddhism - Tibetan,29.463,95.7406,1,Unengaged,Medium,Not Free,Very High,Low,Other,A014,C0216,114222,"""Monba"," Medog""",CHN,CH,,,,Asian Pacific Rim Peoples,Yes,0,Unengaged and Unreached,"""10","000+""",Indigenous,CHN,monba medog
Mondivogula,mon-divo-gula,India,15000,Urdu,Islam - Sunni,14.87245,77.814823,1,Unengaged,Strenuous,Partly Free,High,Very High,Level 2: Exercise Increased Caution,A012,C0321,118662,Mondivogula,IND,IN,,,,South Asian Peoples,Yes,0,Unengaged and Unreached,"""10","000+""",Indigenous,IND,mondi-vogula
Mondiwar,mon-diwa-r,India,650,Telugu,Hinduism,17.053661,74.676307,1,Unengaged,Strenuous,Partly Free,High,Very High,Level 2: Exercise Increased Caution,A012,C0321,113175,Mondiwar,IND,IN,,,,South Asian Peoples,Yes,0,Unengaged and Unreached,"""<10","000""",Indigenous,IND,mond-iwar
Mongallese Arab,mon-gal-lee-z eh-ruhb,South Sudan,53000,Juba Arabic,Islam - Sunni,4.5551,28.4205,1,Unengaged,Extreme,Not Free,High,Moderate,Level 4: Do Not Travel,A001,C0019,106754,"""Arab"," Mongallese""",SSD,OD,,,,Northern African and Middle Eastern Peoples,Yes,0,Unengaged and Unreached,"""50","000+""",Indigenous,SSD,monga-llese eh-ruhb
"""Mongol",mon-gol,,China,34000,Kalmyk-Oirat,Islam - Sunni,39.207987,101.67522,1,Unengaged,Medium,Not Free,Very High,Low,Other,A002,C0146,114224,"""Mongol"," Alxa""",CHN,CH,,,,Asian Pacific Rim Peoples,Yes,0,Unengaged and Unreached,"""10","000+""",Indigenous,CHN,mongol alxa
"""Mongol",mon-gol,,China,29500,Peripheral Mongolian,Buddhism - Tibetan,27.680674,100.846141,1,Unengaged,Medium,Not Free,Very High,Low,Other,A002,C0146,114227,"""Mongol"," Sichuan""",CHN,CH,,,,Asian Pacific Rim Peoples,Yes,0,Unengaged and Unreached,"""10","000+""",Indigenous,CHN,mongol sich--uan
"""Mongol",mon-gol,,China,8800,Katso,Ethnoreligion - Daoism,24.124326,102.725672,0,Unengaged,Medium,Not Free,Very High,Low,Other,A002,C0146,115846,Katso,CHN,CH,,,,Asian Pacific Rim Peoples,Yes,0,Unengaged and Unreached,"""<10","000""",Indigenous,CHN,mongol yunnan
Mongolian,mon-golee--uh-n,Germany,5000,Halh Mongolian,Buddhism - Tibetan,52.529354,13.446077,1,Unengaged,Little,Free,Moderate,High,Level 2: Exercise Increased Caution,A002,C0146,114225,"""Mongol"," Khalka""",DEU,GM,MG,,,Asian Pacific Rim Peoples,,0,Unengaged and Unreached,"""<10","000""",Diaspora,DEU,mong-olian
Mongols of Henan County,mon-gol-s of henan cou-nty,China,42000,Amdo Tibetan,Buddhism - Tibetan,34.7323,101.6086,1,Unengaged,Medium,Not Free,Very High,Low,Other,A002,C0146,117238,"""Mongol"," Qinghai""",CHN,CH,,,,Asian Pacific Rim Peoples,Yes,0,Unengaged and Unreached,"""10","000+""",Indigenous,CHN,mon-gols of henan county
Moni,moni,Indonesia,30000,Moni,Christianity - Evangelical Protestant,-3.72962,136.88584,6,Unengaged,Medium,Partly Free,Very High,High,Level 2: Exercise Increased Caution,A010,C0152,106760,Moni,IDN,ID,,,,Asian Pacific Rim Peoples,Yes,2,No Longer Unreached,"""10","000+""",Indigenous,IDN,moni
Monjombo,mon-jom-bo,Congo,16000,Monzombo,Christianity - Non-Evangelical Protestant,2.9312,18.4387,1,Unengaged,Strenuous,Not Free,Low,Low,Level 2: Exercise Increased Caution,A013,C0184,106763,Monjombo,COG,CF,CG,,,Sub-Saharan African Peoples,,0,Unengaged and Unreached,"""10","000+""",Indigenous,COG,monj-ombo
Mono,mono,United States,400,English,Christianity - Non-Evangelical Protestant,37.1935,-119.34741,5,Unengaged,Little,Free,Moderate,High,Caution,A009,C0154,115335,Mono,USA,US,,,,American Peoples,Yes,2,No Longer Unreached,"""<10","000""",Indigenous,USA,mono
Mono,mono,Solomon Islands,6100,Mono (Solomon Islands),Christianity - Non-Evangelical Protestant,-7.0946,155.7367,5,Unengaged,Strenuous,Free,Low,Moderate,Level 2: Exercise Increased Caution,A010,C0197,115333,"""Mono"," Alu""",SLB,BP,,,,Asian Pacific Rim Peoples,Yes,2,No Longer Unreached,"""<10","000""",Indigenous,SLB,mono
Montagnais,mon-tag-nai-s,Canada,11000,Innu,Christianity - Non-Evangelical Protestant,49.05333,-68.73765,6,Unengaged,Little,Free,Low,Moderate,Level 1: Exercise Normal Precautions,A009,C0154,106774,Montagnais,CAN,CA,,,,American Peoples,Yes,2,No Longer Unreached,"""10","000+""",Indigenous,CAN,monta-gnais
Montenegrin,mon-tene-gri-n,Canada,4400,Serbian,Christianity - Eastern Orthodox,43.7466,-79.384,1,Unengaged,Little,Free,Low,Moderate,Level 1: Exercise Normal Precautions,A003,C0195,106775,Montenegrin,CAN,CA,,,,European Peoples,,0,Unengaged and Unreached,"""<10","000""",Diaspora,CAN,monte-negrin
Montenegrin Deaf,mon-tene-gri-n def,Montenegro,3700,Croatian Sign Language,Christianity - Roman Catholicism,42.44237,19.268684,0,Unengaged,Low,Partly Free,Low,Moderate,Level 1: Exercise Normal Precautions,A017,C0252,114916,Deaf,MNE,MJ,,,,Deaf Peoples,,0,Unengaged and Unreached,"""<10","000""",Indigenous,MNE,monte-negrin def
Montserrat Deaf,mon-tse-rra-t def,Montserrat,60,Undetermined,Unknown,16.7927,-62.21,0,Unengaged,Extreme,Free,Moderate,High,Level 1: Exercise Normal Precautions,A017,C0252,114916,Deaf,MSR,MH,,,,Deaf Peoples,,0,Unengaged and Unreached,"""<10","000""",Indigenous,MSR,monts-errat def
Montserratans,mon-tse-rra-tan-s,Montserrat,4400,Leeward Caribbean English Creole,Christianity - Evangelical Protestant,16.794476,-62.196003,6,Unengaged,Extreme,Free,Moderate,High,Level 1: Exercise Normal Precautions,A007,C0337,106777,Montserratians,MSR,MH,,,,American Peoples,Yes,2,No Longer Unreached,"""<10","000""",Indigenous,MSR,montse-rratans
Montserratian,mon-tse-rra-tee--uh-n,Canada,1000,Leeward Caribbean English Creole,Christianity - Non-Evangelical Protestant,43.894471,-79.474807,6,Unengaged,,,,,,A007,C0337,106777,Montserratians,CAN,CA,,,,American Peoples,,2,No Longer Unreached,"""<10","000""",Diaspora,CAN,montse-rratian
Moor,moor,Mali,650000,Hassaniyya,Islam - Folk,15.381,-11.475,1,Unengaged,Extreme,Not Free,Low,Moderate,Level 4: Do Not Travel,A001,C0014,106417,Moor,MLI,ML,MR,,,Northern African and Middle Eastern Peoples,,0,Unengaged and Unreached,"""100","000+""",Indigenous,MLI,moor
Moor,moor,Niger,436000,Hassaniyya,Islam - Folk,15.9022,5.8029,1,Unengaged,Extreme,Partly Free,Moderate,Moderate,Level 3: Reconsider Travel,A001,C0014,106417,Moor,NER,NG,MR,,,Northern African and Middle Eastern Peoples,,0,Unengaged and Unreached,"""100","000+""",Diaspora,NER,moor
Moose Cree,moose cree,Canada,5700,Moose Cree,Christianity - Non-Evangelical Protestant,51.06859,-80.69116,6,Unengaged,Little,Free,Low,Moderate,Level 1: Exercise Normal Precautions,A009,C0154,101918,"""Cree"," Moose""",CAN,CA,,,,American Peoples,Yes,2,No Longer Unreached,"""<10","000""",Indigenous,CAN,moose cree
Moothan,moo-tha-n,India,4700,Malayalam,Hinduism,11.260614,75.775297,1,Unengaged,Strenuous,Partly Free,High,Very High,Level 2: Exercise Increased Caution,A012,C0311,113166,Moothan,IND,IN,,,,South Asian Peoples,Yes,0,Unengaged and Unreached,"""<10","000""",Indigenous,IND,moot-h-an
Mopan Maya,mopan maya,Belize,16000,Mopán Maya,Christianity - Folk Catholicism,16.54892,-88.73116,6,Unengaged,Medium,Free,Low,Low,Level 2: Exercise Increased Caution,A007,C0136,106783,"""Maya"," Mopan""",BLZ,BH,,,,American Peoples,,2,No Longer Unreached,"""10","000+""",Indigenous,BLZ,mopan maya
Moraid,morai-d,Indonesia,1600,Moraid,Christianity - Evangelical Protestant,-1.04083,131.96538,6,Unengaged,Medium,Partly Free,Very High,High,Level 2: Exercise Increased Caution,A010,C0152,106787,Moraid,IDN,ID,,,,Asian Pacific Rim Peoples,Yes,2,No Longer Unreached,"""<10","000""",Indigenous,IDN,moraid
Morari,mora-ri,Indonesia,325,Indonesian,Christianity - Non-Evangelical Protestant,-8.496407,140.612599,6,Unengaged,Medium,Partly Free,Very High,High,Level 2: Exercise Increased Caution,A010,C0152,106789,Morari,IDN,ID,,,,Asian Pacific Rim Peoples,Yes,2,No Longer Unreached,"""<10","000""",Indigenous,IDN,morari
Mordvinian,mor-dvi-nee--uh-n,Kazakhstan,21000,Erzya,Christianity - Eastern Orthodox,51.226739,51.389299,1,Unengaged,Low,Not Free,High,Moderate,Level 1: Exercise Normal Precautions,A003,C0073,106791,Mordvin-Erzya,KAZ,KZ,RS,,,European Peoples,,0,Unengaged and Unreached,"""10","000+""",Diaspora,KAZ,mordv-inian
Mordvinian,mor-dvi-nee--uh-n,Tajikistan,5100,Erzya,Christianity - Eastern Orthodox,38.561618,68.730492,1,Unengaged,Strenuous,Not Free,High,Low,Level 2: Exercise Increased Caution,A003,C0073,106791,Mordvin-Erzya,TJK,TI,RS,,,European Peoples,,0,Unengaged and Unreached,"""<10","000""",Diaspora,TJK,mordv-inian
Mordvinian,mor-dvi-nee--uh-n,Turkmenistan,2300,Erzya,Christianity - Eastern Orthodox,42.336075,59.134163,1,Unengaged,Medium,Not Free,High,Low,Level 1: Exercise Normal Precautions,A003,C0073,106791,Mordvin-Erzya,TKM,TX,RS,,,European Peoples,,0,Unengaged and Unreached,"""<10","000""",Diaspora,TKM,mordv-inian
