PeopleName,Country,Population,Language,Religion,Latitude,Longitude,Global Status of  Evangelical Christianity,Evangelical Engagement,Physical Exertion,Freedom Index,Government Restrictions Index,Social Hostilities Index,Threat Level,ROP1,ROP2,ROP3,People Name,GENC,FIPS,FIPS of Origin,Unnamed: 21,Unnamed: 22,IMB Affinity Group,Not Engaged Anywhere,SPI,Strategic Priority Index,Population Layer,Indigenous,ISOalpha3
Kalmyk-Oirat,Kyrgyzstan,8000,Kalmyk-Oirat,Buddhism - Tibetan,42.84649,74.6124,1,Unengaged,Strenuous,Not Free,High,High,Level 1: Exercise Normal Precautions,A002,C0146,107607,"Oirat, Western Mongul",KGZ,KG,MG,,,Asian Pacific Rim Peoples,,0,Unengaged and Unreached,"<10,000",Diaspora,KGZ
Kalmyk-Oirat,Mongolia,184000,Kalmyk-Oirat,Ethnoreligion - Chinese Folk Religion,48.584897,95.431934,1,Unengaged,Medium,Free,Moderate,Moderate,Level 1: Exercise Normal Precautions,A002,C0146,107607,"Oirat, Western Mongul",MNG,MG,,,,Asian Pacific Rim Peoples,,0,Unengaged and Unreached,"100,000+",Indigenous,MNG
Kalmyk-Oirat,Uzbekistan,950,Kalmyk-Oirat,Buddhism - Mahayana,40.75824,72.348027,1,Unengaged,Medium,Not Free,Very High,Low,Level 1: Exercise Normal Precautions,A002,C0146,107607,"Oirat, Western Mongul",UZB,UZ,MG,,,Asian Pacific Rim Peoples,,0,Unengaged and Unreached,"<10,000",Diaspora,UZB
Kamalia,India,13500,Gujarati,Hinduism,23.5026,72.044403,1,Unengaged,Strenuous,Partly Free,High,Very High,Level 2: Exercise Increased Caution,A012,C0311,112408,Kamalia,IND,IN,,,,South Asian Peoples,Yes,0,Unengaged and Unreached,"10,000+",Indigenous,IND
Kamano,Papua New Guinea,133000,Kamano,Christianity - Evangelical Protestant,-6.25829,145.72827,6,Unengaged,Strenuous,Partly Free,Low,Moderate,Level 3: Reconsider Travel,A010,C0152,104502,Kamano,PNG,PP,,,,Asian Pacific Rim Peoples,Yes,2,No Longer Unreached,"100,000+",Indigenous,PNG
Kamantan,Nigeria,35000,Kamantan,Ethnoreligion - Animism,9.8203,8.17,4,Unengaged,Strenuous,Partly Free,High,Very High,Level 3: Reconsider Travel,A013,C0044,104503,Kamantan,NGA,NI,,,,Sub-Saharan African Peoples,Yes,2,No Longer Unreached,"10,000+",Indigenous,NGA
Kamar,Nepal,14500,Nepali,Hinduism,27.752408,85.015624,1,Unengaged,Strenuous,Partly Free,Moderate,High,Level 2: Exercise Increased Caution,A012,C0333,112404,"Kamar, tribe",NPL,NP,IN,,,South Asian Peoples,,0,Unengaged and Unreached,"10,000+",Indigenous,NPL
Kamara,Ghana,5600,Kamara,Islam - Folk,9.219,-1.857,5,Unengaged,Strenuous,Free,Low,Moderate,Level 2: Exercise Increased Caution,A013,C0087,104505,Kamara,GHA,GH,,,,Sub-Saharan African Peoples,Yes,2,No Longer Unreached,"<10,000",Indigenous,GHA
Kamasa,Papua New Guinea,80,Menya,Christianity - Evangelical Protestant,-6.96411,146.20897,6,Unengaged,Strenuous,Partly Free,Low,Moderate,Level 3: Reconsider Travel,A010,C0152,104509,Kamasa,PNG,PP,,,,Asian Pacific Rim Peoples,Yes,2,No Longer Unreached,"<10,000",Indigenous,PNG
Kamayo,Philippines,242000,Kamayo,Christianity - Roman Catholicism,8.10796,126.31393,4,Unengaged,Medium,Partly Free,Low,High,Level 2: Exercise Increased Caution,A008,C0072,104513,Kamayo,PHL,RP,,,,Asian Pacific Rim Peoples,Yes,2,No Longer Unreached,"100,000+",Indigenous,PHL
Kamba,Brazil,2100,Spanish,Ethnoreligion - Animism,-18.8124,-57.5966,1,Unengaged,Medium,Free,Low,Moderate,Level 2: Exercise Increased Caution,A007,C0201,115273,Kamba,BRA,BR,,,,American Peoples,Yes,0,Unengaged and Unreached,"<10,000",Indigenous,BRA
Kambaira,Papua New Guinea,600,Gadsup,Christianity - Evangelical Protestant,-6.26656,146.08346,6,Unengaged,Strenuous,Partly Free,Low,Moderate,Level 3: Reconsider Travel,A010,C0152,104517,Kambaira,PNG,PP,,,,Asian Pacific Rim Peoples,Yes,2,No Longer Unreached,"<10,000",Indigenous,PNG
Kambalattan,India,3100,Telugu,Hinduism,8.713972,77.7537,1,Unengaged,Strenuous,Partly Free,High,Very High,Level 2: Exercise Increased Caution,A012,C0311,117801,Kambalattan,IND,IN,,,,South Asian Peoples,Yes,0,Unengaged and Unreached,"<10,000",Indigenous,IND
Kambar,India,36500,Tamil,Hinduism,9.369752,78.830849,1,Unengaged,Strenuous,Partly Free,High,Very High,Level 2: Exercise Increased Caution,A012,C0311,113274,Kambar,IND,IN,,,,South Asian Peoples,Yes,0,Unengaged and Unreached,"10,000+",Indigenous,IND
Kamberataro,Indonesia,1600,Dla,Christianity - Evangelical Protestant,-3.52309,140.94739,6,Unengaged,Medium,Partly Free,Very High,High,Level 2: Exercise Increased Caution,A010,C0152,104521,Kamberataro,IDN,ID,,,,Asian Pacific Rim Peoples,,2,No Longer Unreached,"<10,000",Indigenous,IDN
Kambodia Bhagat,India,1200,Marwari (India),Hinduism,24.290639,71.742661,1,Unengaged,Strenuous,Partly Free,High,Very High,Level 2: Exercise Increased Caution,A012,C0311,117802,Kambodia Bhagat,IND,IN,,,,South Asian Peoples,Yes,0,Unengaged and Unreached,"<10,000",Indigenous,IND
Kamda,Sudan,30000,Undetermined,Islam - Sunni,11.471056,29.203194,0,Unengaged,Strenuous,Not Free,High,Moderate,Level 4: Do Not Travel,A013,C0156,119449,Kamda,SDN,SU,,,,Northern African and Middle Eastern Peoples,Yes,0,Unengaged and Unreached,"10,000+",Indigenous,SDN
Kami,Tanzania,30500,Kami (Tanzania),Islam - Sunni,-6.786481,37.929414,1,Unengaged,Strenuous,Partly Free,Moderate,Moderate,Level 2: Exercise Increased Caution,A013,C0267,114977,Kami,TZA,TZ,,,,Sub-Saharan African Peoples,Yes,0,Unengaged and Unreached,"10,000+",Indigenous,TZA
Kamila,India,15000,Odia,Hinduism,21.9259,86.7458,1,Unengaged,Strenuous,Partly Free,High,Very High,Level 2: Exercise Increased Caution,A012,C0312,118072,Sonar Kamila,IND,IN,,,,South Asian Peoples,Yes,0,Unengaged and Unreached,"10,000+",Indigenous,IND
Kamoro,Indonesia,13000,Kamoro,Christianity - Evangelical Protestant,-4.30433,135.88268,6,Unengaged,Medium,Partly Free,Very High,High,Level 2: Exercise Increased Caution,A010,C0152,104536,Kamoro,IDN,ID,,,,Asian Pacific Rim Peoples,Yes,2,No Longer Unreached,"10,000+",Indigenous,IDN
Kampung Baru,Indonesia,1000,Kais,Christianity - Evangelical Protestant,-1.78077,132.31177,6,Unengaged,Medium,Partly Free,Very High,High,Level 2: Exercise Increased Caution,A010,C0152,104538,Kampung Baru,IDN,ID,,,,Asian Pacific Rim Peoples,Yes,2,No Longer Unreached,"<10,000",Indigenous,IDN
Kamuku,Nigeria,63000,Kamuku,Ethnoreligion - Animism,10.5473,6.1445,4,Unengaged,Strenuous,Partly Free,High,Very High,Level 3: Reconsider Travel,A013,C0044,104543,Kamuku,NGA,NI,,,,Sub-Saharan African Peoples,Yes,2,No Longer Unreached,"50,000+",Indigenous,NGA
Kamura,Papua New Guinea,1900,Kamula,Ethnoreligion - Animism,-7.28798,142.63931,6,Unengaged,Strenuous,Partly Free,Low,Moderate,Level 3: Reconsider Travel,A010,C0152,104544,Kamura,PNG,PP,,,,Asian Pacific Rim Peoples,Yes,2,No Longer Unreached,"<10,000",Indigenous,PNG
Kana,Nigeria,462000,Khana,Christianity - Non-Evangelical Protestant,4.6941,7.4255,5,Unengaged,Strenuous,Partly Free,High,Very High,Level 3: Reconsider Travel,A013,C0044,104547,Kana,NGA,NI,,,,Sub-Saharan African Peoples,Yes,2,No Longer Unreached,"100,000+",Indigenous,NGA
Kanauri,Pakistan,7100,Kinnauri,Hinduism,32.260593,75.159605,1,Unengaged,Strenuous,Partly Free,High,High,Level 3: Reconsider Travel,A012,C0333,104558,Kanauri,PAK,PK,IN,,,South Asian Peoples,,0,Unengaged and Unreached,"<10,000",Diaspora,PAK
Kanda,India,3000,Odia,Hinduism,23.846749,91.909104,1,Unengaged,Strenuous,Partly Free,High,Very High,Level 2: Exercise Increased Caution,A012,C0289,112415,Kanda,IND,IN,,,,South Asian Peoples,Yes,0,Unengaged and Unreached,"<10,000",Indigenous,IND
Kandas,Papua New Guinea,2100,Kandas,Christianity - Evangelical Protestant,-4.3652,152.7808,6,Unengaged,Strenuous,Partly Free,Low,Moderate,Level 3: Reconsider Travel,A010,C0152,104563,Kandas,PNG,PP,,,,Asian Pacific Rim Peoples,Yes,2,No Longer Unreached,"<10,000",Indigenous,PNG
Kandera,India,26500,Dhundari,Hinduism,25.831196,78.617753,1,Unengaged,Strenuous,Partly Free,High,Very High,Level 2: Exercise Increased Caution,A012,C0311,112416,Kandera,IND,IN,,,,South Asian Peoples,Yes,0,Unengaged and Unreached,"10,000+",Indigenous,IND
Kanga,Sudan,20500,Kanga,Islam - Sunni,11.0278,29.3469,1,Unengaged,Strenuous,Not Free,High,Moderate,Level 4: Do Not Travel,A013,C0156,104573,Kanga,SDN,SU,,,,Northern African and Middle Eastern Peoples,Yes,0,Unengaged and Unreached,"10,000+",Indigenous,SDN
Kango (Dikango),"Congo, Democratic Republic of the",13000,Kango (Bas-Uélé District),Ethnoreligion,3.504934,24.427465,1,Unengaged,Extreme,Not Free,Moderate,High,Level 3: Reconsider Travel,A013,C0258,114910,Kango (Dikango),COD,CG,,,,Sub-Saharan African Peoples,Yes,0,Unengaged and Unreached,"10,000+",Indigenous,COD
Kango (Likango),"Congo, Democratic Republic of the",10500,Kango (Bas-Uélé District),Ethnoreligion,3.504934,24.479151,1,Unengaged,Extreme,Not Free,Moderate,High,Level 3: Reconsider Travel,A013,C0258,114614,Kango (Likango),COD,CG,,,,Sub-Saharan African Peoples,Yes,0,Unengaged and Unreached,"10,000+",Indigenous,COD
Kanite,Papua New Guinea,21500,Kanite,Christianity - Evangelical Protestant,-6.38841,145.55598,6,Unengaged,Strenuous,Partly Free,Low,Moderate,Level 3: Reconsider Travel,A010,C0152,104582,Kanite,PNG,PP,,,,Asian Pacific Rim Peoples,Yes,2,No Longer Unreached,"10,000+",Indigenous,PNG
Kanjobal,Mexico,11000,Spanish,Christianity - Folk Catholicism,16.117778,-92.051667,6,Unengaged,Medium,Partly Free,Moderate,High,Other,A007,C0136,110785,"Kanjobal, Western",MEX,MX,GT,,,American Peoples,,2,No Longer Unreached,"10,000+",Indigenous,MEX
Kankali,India,700,Urdu,Islam - Sunni,27.58,81.6,1,Unengaged,Strenuous,Partly Free,High,Very High,Level 2: Exercise Increased Caution,A012,C0321,112587,Kankali,IND,IN,,,,South Asian Peoples,Yes,0,Unengaged and Unreached,"<10,000",Indigenous,IND
Kannada Naicker,India,3200,Kannada,Hinduism,9.911439,78.115106,1,Unengaged,Strenuous,Partly Free,High,Very High,Level 2: Exercise Increased Caution,A012,C0311,117803,Kannada Naickar,IND,IN,,,,South Asian Peoples,Yes,0,Unengaged and Unreached,"<10,000",Indigenous,IND
Kannada Saineegar,India,2700,Kannada,Hinduism,10.787,79.137828,1,Unengaged,Strenuous,Partly Free,High,Very High,Level 2: Exercise Increased Caution,A012,C0311,117804,Kannada Saineegar,IND,IN,,,,South Asian Peoples,Yes,0,Unengaged and Unreached,"<10,000",Indigenous,IND
Kannaya Christian,India,204000,Malayalam,Christianity - Non-Evangelical Protestant,9.919178,76.359836,1,Unengaged,Strenuous,Partly Free,High,Very High,Level 2: Exercise Increased Caution,A012,C0283,118938,Kannaya Christian,IND,IN,,,,South Asian Peoples,Yes,0,Unengaged and Unreached,"100,000+",Indigenous,IND
Kanowit,Malaysia,400,Kanowit-Tanjong Melanau,Ethnoreligion - Animism,2.07952,112.20466,4,Unengaged,Low,Partly Free,High,High,Level 1: Exercise Normal Precautions,A008,C0059,104590,Kanowit,MYS,MY,,,,Asian Pacific Rim Peoples,Yes,2,No Longer Unreached,"<10,000",Indigenous,MYS
Kansa,United States,325,English,Christianity - Non-Evangelical Protestant,36.812754,-96.887441,4,Unengaged,Little,Free,Moderate,High,Caution,A009,C0154,104591,Kansa,USA,US,,,,American Peoples,Yes,2,No Longer Unreached,"<10,000",Indigenous,USA
Kanu,Nepal,158000,Nepali,Hinduism,26.991058,85.052564,1,Unengaged,Strenuous,Partly Free,Moderate,High,Level 2: Exercise Increased Caution,A012,C0311,112418,Kandu,NPL,NP,IN,,,South Asian Peoples,,0,Unengaged and Unreached,"100,000+",Indigenous,NPL
Kanufi,Nigeria,20500,Kanufi,Ethnoreligion - Animism,9.525,8.27644,4,Unengaged,Strenuous,Partly Free,High,Very High,Level 3: Reconsider Travel,A013,C0044,104597,Kanufi,NGA,NI,,,,Sub-Saharan African Peoples,Yes,2,No Longer Unreached,"10,000+",Indigenous,NGA
Kanum,Indonesia,750,Ngkâlmpw Kanum,Christianity - Evangelical Protestant,-8.541,140.892,6,Unengaged,Medium,Partly Free,Very High,High,Level 2: Exercise Increased Caution,A010,C0152,104601,Kanum,IDN,ID,,,,Asian Pacific Rim Peoples,Yes,2,No Longer Unreached,"<10,000",Indigenous,IDN
Kanum,Papua New Guinea,550,Ngkâlmpw Kanum,Ethnoreligion - Animism,-8.6243,141.0797,6,Unengaged,Strenuous,Partly Free,Low,Moderate,Level 3: Reconsider Travel,A010,C0152,104601,Kanum,PNG,PP,ID,,,Asian Pacific Rim Peoples,Yes,2,No Longer Unreached,"<10,000",Indigenous,PNG
Kanuri,Sudan,465000,Yerwa Kanuri,Islam - Sunni,12.6694,34.1565,1,Unengaged,Strenuous,Not Free,High,Moderate,Level 4: Do Not Travel,A013,C0063,104605,"Kanuri, Yerwa",SDN,SU,NI,,,Northern African and Middle Eastern Peoples,,0,Unengaged and Unreached,"100,000+",Diaspora,SDN
Kapadi,India,6100,Gujarati,Hinduism,23.6568,69.7026,1,Unengaged,Strenuous,Partly Free,High,Very High,Level 2: Exercise Increased Caution,A012,C0311,117806,Kapadi,IND,IN,,,,South Asian Peoples,Yes,0,Unengaged and Unreached,"<10,000",Indigenous,IND
Kapasiya,India,17500,Odia,Hinduism,20.70578,83.484308,1,Unengaged,Strenuous,Partly Free,High,Very High,Level 2: Exercise Increased Caution,A012,C0296,118939,Kapasia,IND,IN,,,,South Asian Peoples,Yes,0,Unengaged and Unreached,"10,000+",Indigenous,IND
Kapau,Papua New Guinea,109000,Hamtai,Christianity - Evangelical Protestant,-7.54975,146.22672,6,Unengaged,Strenuous,Partly Free,Low,Moderate,Level 3: Reconsider Travel,A010,C0152,104612,Kapau,PNG,PP,,,,Asian Pacific Rim Peoples,Yes,2,No Longer Unreached,"100,000+",Indigenous,PNG
Kapewar,India,77500,Telugu,Hinduism,19.95,79.3,1,Unengaged,Strenuous,Partly Free,High,Very High,Level 2: Exercise Increased Caution,A012,C0311,112426,Kapewar,IND,IN,,,,South Asian Peoples,Yes,0,Unengaged and Unreached,"50,000+",Indigenous,IND
Kapingamarangian,Micronesia,2900,Kapingamarangi,Christianity - Roman Catholicism,6.9602,158.2115,1,Unengaged,Strenuous,Free,Low,Low,Level 1: Exercise Normal Precautions,A010,C0139,104615,Kapingamarangian,FSM,FM,,,,Asian Pacific Rim Peoples,Yes,0,Unengaged and Unreached,"<10,000",Indigenous,FSM
Kapori,Indonesia,225,Kapauri,Christianity - Non-Evangelical Protestant,-3.5879,139.9477,6,Unengaged,Medium,Partly Free,Very High,High,Level 2: Exercise Increased Caution,A010,C0152,104616,Kapori,IDN,ID,,,,Asian Pacific Rim Peoples,Yes,2,No Longer Unreached,"<10,000",Indigenous,IDN
Kapriman,Papua New Guinea,3500,Kapriman,Christianity - Evangelical Protestant,-4.51011,143.24107,6,Unengaged,Strenuous,Partly Free,Low,Moderate,Level 3: Reconsider Travel,A010,C0152,104618,Kapriman,PNG,PP,,,,Asian Pacific Rim Peoples,Yes,2,No Longer Unreached,"<10,000",Indigenous,PNG
Kapuria,India,1800,Bengali,Hinduism,23.428441,87.766921,1,Unengaged,Strenuous,Partly Free,High,Very High,Level 2: Exercise Increased Caution,A012,C0311,112429,Kapuria,IND,IN,,,,South Asian Peoples,Yes,0,Unengaged and Unreached,"<10,000",Indigenous,IND
Kara,Papua New Guinea,12000,Kara (Papua New Guinea),Christianity - Evangelical Protestant,-2.81957,151.11092,6,Unengaged,Strenuous,Partly Free,Low,Moderate,Level 3: Reconsider Travel,A010,C0152,114948,Kara,PNG,PP,,,,Asian Pacific Rim Peoples,Yes,2,No Longer Unreached,"10,000+",Indigenous,PNG
Kara,Sudan,3000,Gula (Central African Republic),Islam - Sunni,9.389292,24.447763,0,Unengaged,Strenuous,Not Free,High,Moderate,Level 4: Do Not Travel,A013,C0260,114947,Kara (Gula),SDN,SU,CT,,,Sub-Saharan African Peoples,,0,Unengaged and Unreached,"<10,000",Diaspora,SDN
Karachay,Kyrgyzstan,1700,Karachay-Balkar,Islam - Sunni,42.886578,74.603444,1,Unengaged,Strenuous,Not Free,High,High,Level 1: Exercise Normal Precautions,A003,C0061,104628,Karachay,KGZ,KG,RS,,,Central Asian Peoples,,0,Unengaged and Unreached,"<10,000",Diaspora,KGZ
Karachay,United States,475,Karachay-Balkar,Islam - Sunni,40.916384,-74.161432,1,Unengaged,Little,Free,Moderate,High,Caution,A003,C0061,104628,Karachay,USA,US,RS,,,Central Asian Peoples,,0,Unengaged and Unreached,"<10,000",Diaspora,USA
Karaiyar,India,2600,Tamil,Hinduism,9.615788,78.395854,1,Unengaged,Strenuous,Partly Free,High,Very High,Level 2: Exercise Increased Caution,A012,C0311,118216,Karaiyar,IND,IN,,,,South Asian Peoples,Yes,0,Unengaged and Unreached,"<10,000",Indigenous,IND
Karakalpak,Kyrgyzstan,2000,Karakalpak,Islam - Sunni,40.933156,72.978814,1,Unengaged,Strenuous,Not Free,High,High,Level 1: Exercise Normal Precautions,A015,C0108,104638,Karakalpak,KGZ,KG,UZ,,,Central Asian Peoples,,0,Unengaged and Unreached,"<10,000",Diaspora,KGZ
Karakalpak,Turkmenistan,5500,Karakalpak,Islam - Sunni,42.253973,59.729581,1,Unengaged,Medium,Not Free,High,Low,Level 1: Exercise Normal Precautions,A015,C0108,104638,Karakalpak,TKM,TX,UZ,,,Central Asian Peoples,,0,Unengaged and Unreached,"<10,000",Diaspora,TKM
Karam,Papua New Guinea,40500,Kalam,Christianity - Evangelical Protestant,-5.25216,144.58514,6,Unengaged,Strenuous,Partly Free,Low,Moderate,Level 3: Reconsider Travel,A010,C0152,104640,Karam,PNG,PP,,,,Asian Pacific Rim Peoples,Yes,2,No Longer Unreached,"10,000+",Indigenous,PNG
Karanga,Chad,24500,Karanga,Islam - Sunni,13.062138,20.59847,0,Unengaged,Extreme,Not Free,High,Moderate,Level 3: Reconsider Travel,A013,C0175,115259,"Karanga, Kurunga",TCD,CD,,,,Sub-Saharan African Peoples,Yes,0,Unengaged and Unreached,"10,000+",Indigenous,TCD
Karangi,Papua New Guinea,450,Weliki,Christianity - Evangelical Protestant,-5.98588,147.13733,6,Unengaged,Strenuous,Partly Free,Low,Moderate,Level 3: Reconsider Travel,A010,C0152,104647,Karangi,PNG,PP,,,,Asian Pacific Rim Peoples,Yes,2,No Longer Unreached,"<10,000",Indigenous,PNG
Karas,Indonesia,400,Indonesian,Christianity - Evangelical Protestant,-3.4457,132.6796,6,Unengaged,Medium,Partly Free,Very High,High,Level 2: Exercise Increased Caution,A010,C0152,104649,Karas,IDN,ID,,,,Asian Pacific Rim Peoples,Yes,2,No Longer Unreached,"<10,000",Indigenous,IDN
Karata,Russian Federation,6400,Karata,Islam - Sunni,42.5951,46.3388,1,Unengaged,Low,Not Free,Very High,Very High,Level 4: Do Not Travel,A003,C0061,104651,Karatin,RUS,RS,,,,Central Asian Peoples,Yes,0,Unengaged and Unreached,"<10,000",Indigenous,RUS
Karawa,Papua New Guinea,1300,Pouye,Ethnoreligion - Animism,-3.69933,142.01835,6,Unengaged,Strenuous,Partly Free,Low,Moderate,Level 3: Reconsider Travel,A010,C0152,104653,Karawa,PNG,PP,,,,Asian Pacific Rim Peoples,Yes,2,No Longer Unreached,"<10,000",Indigenous,PNG
Karbo,Chad,4700,Dangaléat,Ethnoreligion,12.154836,18.519961,1,Unengaged,Extreme,Not Free,High,Moderate,Level 3: Reconsider Travel,A013,C0062,104654,Karbo,TCD,CD,,,,Sub-Saharan African Peoples,Yes,0,Unengaged and Unreached,"<10,000",Indigenous,TCD
Kare,Papua New Guinea,1300,Kare (Papua New Guinea),Christianity - Evangelical Protestant,-5.07674,145.49889,6,Unengaged,Strenuous,Partly Free,Low,Moderate,Level 3: Reconsider Travel,A010,C0152,104655,Kare,PNG,PP,,,,Asian Pacific Rim Peoples,Yes,2,No Longer Unreached,"<10,000",Indigenous,PNG
Kari,"Congo, Democratic Republic of the",3100,Zande,Christianity - Roman Catholicism,5.03525,25.74914,1,Unengaged,Extreme,Not Free,Moderate,High,Level 3: Reconsider Travel,A013,C0258,115386,"Kare, Li-Kari-Li",COD,CG,,,,Sub-Saharan African Peoples,Yes,0,Unengaged and Unreached,"<10,000",Indigenous,COD
Karimpalan,India,21500,Malayalam,Hinduism,11.874478,75.370366,1,Unengaged,Strenuous,Partly Free,High,Very High,Level 2: Exercise Increased Caution,A012,C0289,112440,Karimpalan,IND,IN,,,,South Asian Peoples,Yes,0,Unengaged and Unreached,"10,000+",Indigenous,IND
Karipuna de Rondônia,Brazil,30,Portuguese,Ethnoreligion,-10.033333,-64.466667,1,Unengaged,Medium,Free,Low,Moderate,Level 2: Exercise Increased Caution,A007,C0010,104673,Karipuna do Rondonia,BRA,BR,,,,American Peoples,Yes,0,Unengaged and Unreached,"<10,000",Indigenous,BRA
Kariri,Brazil,125,Portuguese,Ethnoreligion,-7.2931,-39.803,5,Unengaged,Medium,Free,Low,Moderate,Level 2: Exercise Increased Caution,A007,C0201,116156,Kariri,BRA,BR,,,,American Peoples,Yes,2,No Longer Unreached,"<10,000",Indigenous,BRA
Kariya,Nigeria,4500,Kariya,Ethnoreligion - Animism,10.909,9.775,1,Unengaged,Strenuous,Partly Free,High,Very High,Level 3: Reconsider Travel,A013,C0062,104675,Kariya,NGA,NI,,,,Sub-Saharan African Peoples,Yes,0,Unengaged and Unreached,"<10,000",Indigenous,NGA
Karkar,Papua New Guinea,3000,Karkar-Yuri,Christianity - Evangelical Protestant,-3.74954,141.09822,6,Unengaged,Strenuous,Partly Free,Low,Moderate,Level 3: Reconsider Travel,A010,C0152,104678,Karkar,PNG,PP,,,,Asian Pacific Rim Peoples,Yes,2,No Longer Unreached,"<10,000",Indigenous,PNG
Karko,Sudan,28500,Karko,Islam - Sunni,12.08,29.4006,0,Unengaged,Strenuous,Not Free,High,Moderate,Level 4: Do Not Travel,A013,C0156,103230,Garko,SDN,SU,,,,Northern African and Middle Eastern Peoples,Yes,0,Unengaged and Unreached,"10,000+",Indigenous,SDN
Karlar,India,56000,Tamil,Hinduism,10.379664,78.820844,1,Unengaged,Strenuous,Partly Free,High,Very High,Level 2: Exercise Increased Caution,A012,C0296,118940,Karalar,IND,IN,,,,South Asian Peoples,Yes,0,Unengaged and Unreached,"50,000+",Indigenous,IND
Karna Sale,India,3300,Telugu,Hinduism,10.518465,78.106243,1,Unengaged,Strenuous,Partly Free,High,Very High,Level 2: Exercise Increased Caution,A012,C0311,118653,Karna Sale,IND,IN,,,,South Asian Peoples,Yes,0,Unengaged and Unreached,"<10,000",Indigenous,IND
Karnam,India,87500,Tamil,Hinduism,13.217096,79.100674,1,Unengaged,Strenuous,Partly Free,High,Very High,Level 2: Exercise Increased Caution,A012,C0296,112447,Karnam,IND,IN,,,,South Asian Peoples,Yes,0,Unengaged and Unreached,"50,000+",Indigenous,IND
Karnibhakthulu,India,30500,Telugu,Hinduism,16.917419,81.339942,1,Unengaged,Strenuous,Partly Free,High,Very High,Level 2: Exercise Increased Caution,A012,C0311,117769,Karnibhaktulu,IND,IN,,,,South Asian Peoples,Yes,0,Unengaged and Unreached,"10,000+",Indigenous,IND
Karo,Ethiopia,2300,Karo (Ethiopia),Ethnoreligion,5.2101,36.17093,1,Unengaged,Extreme,Not Free,Moderate,Moderate,Level 3: Reconsider Travel,A004,C0161,104685,Karo,ETH,ET,,,,Northern African and Middle Eastern Peoples,Yes,0,Unengaged and Unreached,"<10,000",Indigenous,ETH
Karon Dori,Indonesia,8100,Karon Dori,Christianity - Evangelical Protestant,-0.7871,132.66326,6,Unengaged,Medium,Partly Free,Very High,High,Level 2: Exercise Increased Caution,A010,C0152,104691,Karon Dori,IDN,ID,,,,Asian Pacific Rim Peoples,Yes,2,No Longer Unreached,"<10,000",Indigenous,IDN
Karore,Papua New Guinea,1100,Karore,Christianity - Evangelical Protestant,-6.15563,149.90664,6,Unengaged,Strenuous,Partly Free,Low,Moderate,Level 3: Reconsider Travel,A010,C0152,104692,Karore,PNG,PP,,,,Asian Pacific Rim Peoples,Yes,2,No Longer Unreached,"<10,000",Indigenous,PNG
Kasanga,Guinea-Bissau,1100,Mandinka,Ethnoreligion - Animism,12.41733,-15.94127,1,Unengaged,Extreme,Partly Free,Low,Low,Level 3: Reconsider Travel,A013,C0024,104702,Kasanga,GNB,PU,,,,Sub-Saharan African Peoples,Yes,0,Unengaged and Unreached,"<10,000",Indigenous,GNB
Kasar (Bengali),India,99500,Bengali,Hinduism,22.595134,88.359447,1,Unengaged,Strenuous,Partly Free,High,Very High,Level 2: Exercise Increased Caution,A012,C0311,118760,"Kasar, Bengali",IND,IN,,,,South Asian Peoples,Yes,0,Unengaged and Unreached,"50,000+",Indigenous,IND
Kasar (Gujarati),India,44000,Gujarati,Hinduism,23.026711,72.463888,1,Unengaged,Strenuous,Partly Free,High,Very High,Level 2: Exercise Increased Caution,A012,C0311,118761,"Kasar, Gujarati",IND,IN,,,,South Asian Peoples,Yes,0,Unengaged and Unreached,"10,000+",Indigenous,IND
Kasar (Hindi),India,128000,Hindi,Hinduism,23.125366,78.088229,1,Unengaged,Strenuous,Partly Free,High,Very High,Level 2: Exercise Increased Caution,A012,C0311,118762,"Kasar, Hindi",IND,IN,,,,South Asian Peoples,Yes,0,Unengaged and Unreached,"100,000+",Indigenous,IND
Kasar (Oriya),India,103000,Odia,Hinduism,20.330923,85.438773,1,Unengaged,Strenuous,Partly Free,High,Very High,Level 2: Exercise Increased Caution,A012,C0311,118764,"Kasar, Odia",IND,IN,,,,South Asian Peoples,Yes,0,Unengaged and Unreached,"100,000+",Indigenous,IND
Kasbati,India,24500,Gujarati,Islam - Sunni,21.522184,70.457877,1,Unengaged,Strenuous,Partly Free,High,Very High,Level 2: Exercise Increased Caution,A012,C0321,112451,"Kasbati, Muslim",IND,IN,,,,South Asian Peoples,Yes,0,Unengaged and Unreached,"10,000+",Indigenous,IND
Kasena,Burkina Faso,241000,Kasem,Ethnoreligion - Animism,11.25817,-1.24065,1,Unengaged,Extreme,Not Free,Low,High,Level 4: Do Not Travel,A013,C0087,104705,Kasena,BFA,UV,,,,Sub-Saharan African Peoples,,0,Unengaged and Unreached,"100,000+",Indigenous,BFA
Kasha,Sudan,14000,Sudanese Arabic,Islam - Sunni,12.000806,29.152528,1,Unengaged,Strenuous,Not Free,High,Moderate,Level 4: Do Not Travel,A013,C0156,119459,Kasha,SDN,SU,,,,Northern African and Middle Eastern Peoples,Yes,0,Unengaged and Unreached,"10,000+",Indigenous,SDN
Kashaya,United States,100,English,Christianity - Non-Evangelical Protestant,38.503754,-122.99603,5,Unengaged,Little,Free,Moderate,High,Caution,A009,C0154,104708,Kashaya,USA,US,,,,American Peoples,Yes,2,No Longer Unreached,"<10,000",Indigenous,USA
